ISO3,Roman,Country_Code,Map_Color_Code,STS_Code,UN_Link,M49_Description,M49_Code,x,y
NLD,Netherlands,EUR,NLD,1,168,Netherlands,528,5.331480568,51.86728884
NOR,Norway,EUR,NOR,1,169,Norway,578,11.47846389,61.34311134
NPL,Nepal,ASI,NPL,1,170,Nepal,524,83.94678863,28.25866332
NRU,Nauru,OCE,NRU,1,171,Nauru,520,166.92313,-0.528742623
NZL,New Zealand,OCE,NZL,1,172,New Zealand,554,170.4755673,-43.98721569
OMN,Oman,ASI,OMN,1,173,Oman,512,57.87743482,21.98805614
PAK,Pakistan,ASI,PAK,1,174,Pakistan,586,68.80479684,29.36491634
PAN,Panama,AME,PAN,1,175,Panama,591,-81.26616624,8.450965746
PCN,Pitcairn Island,OCE,GBR,5,176,Pitcairn,612,-128.3225873,-24.37538456
PER,Peru,AME,PER,1,177,Peru,604,-71.82093277,-13.58939705
PHL,Philippines,ASI,PHL,1,178,Philippines,608,120.8601418,14.16591706
PLW,Palau,OCE,PLW,1,179,Palau,585,134.5733878,7.502307591
PNG,Papua New Guinea,OCE,PNG,1,180,Papua New Guinea,598,145.8587761,-6.756057077
POL,Poland,EUR,POL,1,181,Poland,616,19.40660158,52.1226733
PRI,Puerto Rico,AME,USA,2,182,Puerto Rico,630,-66.47591017,18.22753799
PRK,Democratic People's Republic of Korea,ASI,PRK,1,183,Korea (North),408,127.1803633,40.1462645
PRT,Azores Islands,EUR,PRT,2,184,Portugal,620,-25.49741554,37.77415827
PRT,Madeira Islands,EUR,PRT,2,185,Portugal,620,-16.99528834,32.74344804
